parent_ID;accountAssgmtNo;accountAssignmentCategory;unloadingPoint;goodsRecipient;GLAccountNo;costCenter;functionalArea;deletionIndicator
450000000410;1;;;;65008300;D11010011;YB20;
450000002910;1;;;;54300000;;YB20;
450000003110;1;;;;61004000;D11010011;YB20;
450000003210;1;;;;61004000;;;
450000003910;1;;;;;;;
450000004010;1;;;;61004000;17101101;YB40;
450000004210;1;;;;65100000;17101321;YB20;
450000004510;1;;;;64010000;17101321;YB20;
450000004610;1;;;;64010000;17101101;YB40;
450000004710;1;;;;64010000;17101101;YB75;
450000004810;1;;;;65008300;17101101;YB40;
450000004910;1;;;;65008300;17101101;YB40;
450000005010;1;;;;64010000;17101101;YB40;
450000005110;1;;;;64010000;17101101;YB40;
450000005210;1;;;;64010000;17101101;YB40;
450000005310;1;;;;64010000;17101101;YB40;
450000005410;1;;;;64010000;17101101;YB40;
450000012210;1;;;;63010300;17101301;YB20;
450000116710;1;;;;63003000;;YB20;
450000117010;1;;;;16014000;;;
450000117410;1;;;;63003000;17101301;YB20;
450000117410;2;;;;63003000;17101201;YB70;
450000118310;1;;;;16014000;;;
450000118310;2;;;;16014000;;;
450000118810;1;;;;16014000;;;
450000122910;1;;;;61004000;17101201;YB20;
450000122920;1;;;;61004000;17101201;YB20;
450000122930;1;;;;61004000;17101201;YB20;
450000122940;1;;;;61004000;17101201;YB20;
450000122950;1;;;;61004000;17101201;YB20;
450000122960;1;;;;61004000;17101201;YB20;
450000122970;1;;;;61004000;17101201;YB20;
450000122980;1;;;;61004000;17101201;YB20;
450000122990;1;;;;61004000;17101201;YB20;
45000012291000;1;;;;61004000;17101201;YB20;
450000123210;1;;;;16014000;;;
450000123220;1;;;;51100000;;;
450000123230;1;;;;64010000;17101101;YB40;
450000123310;1;;;;16014000;;;
450000123320;1;;;;51100000;;;
450000123330;1;;;;64010000;17101101;YB40;
450000330310;1;;;;;;;
450000341110;1;;;;61004000;17101201;YB20;
450000341210;1;;;;61004000;17101201;YB20;
450000342710;1;;;;61004000;17101201;YB20;
